Row_ID,Order_of_orders,Order_of_families,Order,Family,Scientific_Name,Common_name,Region,Mountain_Range,ENSM_population,LOWER LIMIT LOW  (LLL) ,UPPER LIMIT LOW  (ULL),LOWER LIMIT HIGH  (LLH),UPPER LIMIT HIGH  (ULH),COMPLETE ENSM MAGNITUDE (min that all Indivs shift),Upper Shift (ULH-ULL),Lower Shift (LLH-LLL),PARTIAL ENSM MAGNITUDE (min that some indivs shift),Complete ENSM? y/n ,Partial ENSM y/n,"Partial ENSM, excludes complete ENSM",Lower Limit Is,Upper Limit is,Breed High or Low?, Non-breeding Elev Range,Breeding Elev Range,latitudinal_migrant (yes=1; 0=no),partial_lat_migrant (yes=1; 0=no),partial_elev_migrant (yes=1; 0=no),References,GBIF DOI
41,6,9,Charadriiformes,Ibidorhynchidae,Ibidorhyncha struthersii,Ibisbill,Asia,Himalayas,Bhutan,240,2250,2250,4480,0,2230,2010,2230,no,yes,yes,Non-breeding ,Breeding,High,240-2250,2250-4480,1,0,1,Grimmett et al. 1999,
42,6,9,Charadriiformes,Ibidorhynchidae,Ibidorhyncha struthersii,Ibisbill,Asia,Himalayas,Nepal,315,915,3800,4200,2885,3285,3485,3485,yes,yes,no,Non-breeding ,Breeding,High,0-915,3800-4200,1,0,1,Grimmett et al. 1999,https://doi.org/10.15468/dl.cbae91
43,8,11,Piciformes,Picidae,Jynx torquilla,Eurasian Wryneck,Asia,Himalayas,India,0,960,1500,3300,540,2340,1500,2340,no,yes,yes,Non-breeding ,Breeding,High,,,1,0,0,HBW; Grimmett et al. 1999; Grimmett et al. 2014; GBIF,https://doi.org/10.15468/dl.o3wrei
44,10,15,Passeriformes,Laniidae,Lanius tephronotus,Grey-backed Shrike,Asia,Himalayas,India,0,2295,2700,4575,405,2280,2700,2700,no,yes,yes,Non-breeding ,Breeding,High,,,1,1,0,Grimmett et al. 1999; GBIF,https://doi.org/10.15468/dl.0nhxn7
45,10,15,Passeriformes,Laniidae,Lanius tephronotus,Grey-backed Shrike,Asia,Himalayas,Nepal,275,2560,2200,4575,-360,2015,1925,2015,no,yes,yes,Non-breeding ,Breeding,High,300-2500,2700-4500,1,1,0,Lu et al. 2010; HBW; Grimmett et al. 1999,
46,10,20,Passeriformes,Fringillidae,Leucosticte brandti,Brandt's Mountain Finch,Asia,Himalayas,Himalayas,1500,5355,3660,4800,-1695,-555,2160,2160,no,yes,yes,Non-breeding ,Breeding,High,1500-5353,3660-4800,1,0,0,Grimmett et al. 1999; GBIF,https://doi.org/10.15468/dl.ctohqj
47,10,20,Passeriformes,Fringillidae,Leucosticte nemoricola,Plain Mountain Finch,Asia,Himalayas,Nepal,2000,3650,4200,5200,550,1550,2200,2200,no,yes,yes,Non-breeding ,Breeding,High,2000-3650,4200-5200,1,0,0,Grimmett et al. 1999,
48,10,29,Passeriformes,Locustellidae,Locustella thoracica,Spotted Bush Warbler,Asia,Himalayas,India,0,195,3300,4350,3105,4155,3300,4155,yes,yes,no,Non-breeding ,Breeding,High,0-250,3350-3850,1,0,0,Grimmett et al. 1999; HBW; GBIF,https://doi.org/10.15468/dl.sf31n1
49,10,29,Passeriformes,Locustellidae,Locustella thoracica,Spotted Bush Warbler,Asia,Himalayas,Nepal,0,250,3350,3850,3100,3600,3350,3600,yes,yes,no,Non-breeding ,Breeding,High,,,1,0,0,Grimmett et al. 1999; HBW; GBIF,https://doi.org/10.15468/dl.sf31n1
50,10,17,Passeriformes,Muscicapidae,Luscinia pectoralis,Himalayan Rubythroat,Asia,Himalayas,Nepal,275,1340,3300,4800,1960,3460,3025,3460,no,yes,yes,Non-breeding ,Breeding,High,275-1340,3300-4800,0,0,0,Grimmett et al. 1999,
51,10,17,Passeriformes,Muscicapidae,Luscinia svecica,Bluethroat,Asia,Himalayas,India,0,1080,2600,3800,1520,2720,2600,2720,no,yes,yes,Non-breeding ,Breeding,High,0-4505,3500-4805,1,1,0,Grimmett et al. 1999; GBIF,https://doi.org/10.15468/dl.0wqk1m
52,10,17,Passeriformes,Muscicapidae,Monticola solitarius,Blue Rock Thrush,Asia,Himalayas,Nepal,90,1400,2590,4880,1190,3480,2500,3480,no,yes,yes,Non-breeding ,Breeding,High,0-4509,3500-4809,1,1,0,Grimmett et al. 1999; GBIF,https://doi.org/10.15468/dl.txt3wo
53,10,22,Passeriformes,Motacillidae,Motacilla cinerea,Grey Wagtail,Asia,Himalayas,Nepal,365,1550,1110,3550,-440,2000,745,2000,no,yes,yes,Non-breeding ,Breeding,High,365-1550,1110-3550,1,0,0,Grimmett at al. 1999,
54,10,22,Passeriformes,Motacillidae,Motacilla citreola,Citrine Wagtail,Asia,Himalayas,India,0,1010,3000,5000,1990,3990,3000,3990,no,yes,yes,Non-breeding ,Breeding,High,0-4513,3500-4813,1,1,0,Grimmett et al. 1999; GBIF,https://doi.org/10.15468/dl.tzo2g4
55,10,17,Passeriformes,Muscicapidae,Muscicapella hodgsoni,Pygmy Blue Flycatcher,Asia,Himalayas,India,300,750,2135,3500,1385,2750,1835,2750,no,yes,yes,Non-breeding ,Breeding,High,,,1,0,0,Grimmett et al. 1999; GBIF,https://doi.org/10.15468/dl.lnpm9l
56,10,17,Passeriformes,Muscicapidae,Muscicapella hodgsoni,Pygmy Blue Flycatcher,Asia,Himalayas,Nepal,75,2375,2100,3500,-275,1125,2025,2025,no,yes,yes,Non-breeding ,Breeding,High,75-750,2100-3500,1,0,0,Grimmett et al. 1999; HBW; GBIF,https://doi.org/10.15468/dl.lnpm9l
61,10,17,Passeriformes,Muscicapidae,Oenanthe deserti,Desert Wheatear,Asia,Himalayas,India,0,815,3000,5100,2185,4285,3000,4285,yes,yes,no,Non-breeding ,Breeding,High,0-4507,3500-4807,1,1,0,Grimmett et al. 1999; GBIF,https://doi.org/10.15468/dl.cnzkey
62,10,17,Passeriformes,Muscicapidae,Oenanthe picata,Variable Wheatear,Asia,Himalayas,India,0,685,2160,4645,1475,3960,2160,3960,no,yes,yes,Non-breeding ,Breeding,High,0-4508,3500-4808,1,1,0,Grimmett et al. 1999; Grimmett et al. 2014; GBIF,https://doi.org/10.15468/dl.lawmy6
67,10,17,Passeriformes,Muscicapidae,Phoenicurus erythrogaster,White-winged Redstart,Asia,Himalayas,Pakistan,1750,2400,3900,5000,1500,2600,2150,2600,no,yes,yes,Non-breeding ,Breeding,High,1750-2400,3900-5000,0,0,0,Grimmett et al. 1999,
68,10,17,Passeriformes,Muscicapidae,Phoenicurus erythrogaster,White-winged Redstart,Asia,Himalayas,Nepal,2650,3965,4900,5600,935,1635,2250,2250,no,yes,yes,Non-breeding ,Breeding,High,1750-2401,3900-5001,0,0,0,Grimmett et al. 1999,
69,10,17,Passeriformes,Muscicapidae,Phoenicurus erythrogaster,White-winged Redstart,Asia,Himalayas,India,1525,4800,3600,5200,-1200,400,2075,2075,no,yes,yes,Non-breeding ,Breeding,High,1750-2402,3900-5002,0,0,0,Grimmett et al. 1999,
70,10,17,Passeriformes,Muscicapidae,Phoenicurus frontalis,Blue-fronted Redstart,Asia,Himalayas,Nepal,1000,3050,3350,4900,300,1850,2350,2350,no,yes,yes,Non-breeding ,Breeding,High,1000-3050,3350-4900,0,0,0,Grimmett et al. 1999,
71,10,17,Passeriformes,Muscicapidae,Phoenicurus ochruros,Black Redstart,Asia,Himalayas,phoenicuroides (India),0,1700,3300,5200,1600,3500,3300,3500,no,yes,yes,Non-breeding ,Breeding,High,100-1700,3300-5200,1,0,0,Grimmett et al. 1999; GBIF,https://doi.org/10.15468/dl.ue6av4
72,10,26,Passeriformes,Phylloscopidae,Phylloscopus affinis,Tickell's Leaf Warbler,Asia,Himalayas,Nepal,78,1190,2550,4800,1360,3610,2472,3610,no,yes,yes,Non-breeding ,Breeding,High,80-1190,2550-4800,1,0,0,Grimmett et al. 1999; GBIF,https://doi.org/10.15468/dl.cuwhwk
73,10,26,Passeriformes,Phylloscopidae,Phylloscopus chloronotus,Lemon-rumped Leaf-warbler,Asia,Himalayas,Nepal,275,2750,2750,4000,0,1250,2475,2475,no,yes,yes,Non-breeding,Breeding,High,,,1,0,0,Grimmett et al. 1999,
74,10,26,Passeriformes,Phylloscopidae,Phylloscopus chloronotus,Lemon-rumped Leaf-warbler,Asia,Himalayas,India,70,2100,2200,4200,100,2100,2130,2130,no,yes,yes,Non-breeding,Breeding,High,,,1,0,0,Grimmett et al. 1999; GBIF,https://doi.org/10.15468/dl.qulakw
75,10,26,Passeriformes,Phylloscopidae,Phylloscopus fuligiventer,Smoky Warbler,Asia,Himalayas,Nepal,90,915,3900,5000,2985,4085,3810,4085,yes,yes,no,Non-breeding ,Breeding,High,?-915,3900-5000,1,0,0,Grimmett et al. 1999,https://doi.org/10.15468/dl.pij1rf
76,10,26,Passeriformes,Phylloscopidae,Phylloscopus griseolus,Sulphur-bellied Warbler,Asia,Himalayas,India,0,1000,2400,4500,1400,3500,2400,3500,no,yes,yes,Non-breeding ,Breeding,High,0-1000,2400-4500,1,0,0,Grimmett et al. 1999; GBIF,https://doi.org/10.15468/dl.vzfqb4
77,10,26,Passeriformes,Phylloscopidae,Phylloscopus humei,Hume's Leaf Warbler,Asia,Himalayas,Nepal,90,2135,3280,3980,1145,1845,3190,3190,no,yes,yes,Non-breeding,Breeding,High,,,1,0,0,Grimmett et al. 1999; Grimmett et al. 2014; GBIF,https://doi.org/10.15468/dl.ugnvk0
78,10,26,Passeriformes,Phylloscopidae,Phylloscopus humei,Hume's Leaf Warbler,Asia,Himalayas,India,0,1800,2100,3600,300,1800,2100,2100,no,yes,yes,Non-breeding,Breeding,High,,,1,0,0,Grimmett et al. 1999; Grimmett et al. 2014; GBIF,https://doi.org/10.15468/dl.ugnvk0
79,10,26,Passeriformes,Phylloscopidae,Phylloscopus pulcher,Buff-barred Warbler,Asia,Himalayas,Nepal,915,3050,3250,4300,200,1250,2335,2335,no,yes,yes,Non-breeding ,Breeding,High,915-3050,3250-4300,0,0,0,Grimmett et al. 1999,
80,10,26,Passeriformes,Phylloscopidae,Phylloscopus pulcher,Buff-barred Warbler,Asia,Himalayas,India,500,2800,2800,4300,0,1500,2300,2300,no,yes,yes,Non-breeding ,Breeding,High,500-2800,2800-4300,0,0,0,Grimmett et al. 1999,
81,10,26,Passeriformes,Phylloscopidae,Phylloscopus reguloides,Blyth's Leaf Warbler,Asia,Himalayas,India,0,1500,2000,3700,500,2200,2000,2200,no,yes,yes,Non-breeding ,Breeding,High,0-1500,2100-3200,1,0,0,Barve et al. 2016; HBW,https://doi.org/10.15468/dl.ke5wej
82,10,26,Passeriformes,Phylloscopidae,Phylloscopus sindianus,Mountain Chiffchaff,Asia,Himalayas,India,200,2125,2500,4400,375,2275,2300,2300,no,yes,yes,Non-breeding,Breeding,High,,,1,0,0,HBW; Grimmett et al. 1999; GBIF,https://doi.org/10.15468/dl.79d1dr
83,10,26,Passeriformes,Phylloscopidae,Phylloscopus trochiloides,Greenish Warbler,Asia,Himalayas,Nepal,75,1830,3000,4270,1170,2440,2925,2925,no,yes,yes,Non-breeding,Breeding,High,,,1,0,0,HBW; Grimmett et al. 1999; Grimmett et al. 2014; GBIF,https://doi.org/10.15468/dl.twmsgm
84,10,26,Passeriformes,Phylloscopidae,Phylloscopus trochiloides,Greenish Warbler,Asia,Himalayas,India,0,2200,2700,4300,500,2100,2700,2700,no,yes,yes,Non-breeding,Breeding,High,,,1,0,0,HBW; Grimmett et al. 1999; Grimmett et al. 2014; GBIF,https://doi.org/10.15468/dl.twmsgm
85,10,26,Passeriformes,Phylloscopidae,Phylloscopus tytleri,Tytler's Leaf Warbler,Asia,Himalayas,India,105,2610,2400,3600,-210,990,2295,2295,no,yes,yes,Non-breeding ,Breeding,High,0-4502,3500-4802,1,1,0,Grimmett et al. 1999; GBIF,https://doi.org/10.15468/dl.jpqhdm
86,10,27,Passeriformes,Pnoepygidae,Pnoepyga albiventer,Scaly-breasted Wren Babbler,Asia,Himalayas,Himalayas (Eastern),700,2285,2745,3900,460,1615,2045,2045,no,yes,yes,Non-breeding ,Breeding,High,700-2285,2745-3900,0,0,0,Grimmett et al. 1999,
87,10,19,Passeriformes,Prunellidae,Prunella strophiata,Rufous-breasted Accentor,Asia,Himalayas,India,425,3095,2700,4880,-395,1785,2275,2275,no,yes,yes,Non-breeding ,Breeding,High,213-4639,2700-5000,0,0,0,Grimmett et al. 1999; HBW; GBIF,https://doi.org/10.15468/dl.1t3hoh
89,10,24,Passeriformes,Hirundinidae,Ptyonoprogne rupestris,Eurasian Crag Martin,Asia,Himalayas,India,0,2000,1200,4500,-800,2500,1200,2500,no,yes,yes,Non-breeding ,Breeding,High,0-2000,1200-4500,1,0,0,Grimmett et al. 1999; HBW; GBIF,https://doi.org/10.15468/dl.czzknt
91,6,6,Charadriiformes,Laridae,Sterna hirundo,Common Tern,Asia,Himalayas,India,0,135,0,4750,-135,4615,0,4615,no,yes,yes,Non-breeding ,Breeding,High,0-1800,0-4752,0,0,0,Grimmett et al. 1999; HBW; GBIF,https://doi.org/10.15468/dl.7c7eom
92,2,2,Columbiformes,Columbidae,Streptopelia orientalis,Oriental Turtle Dove,Asia,Himalayas,India,0,2450,0,4645,-2450,2195,0,2195,no,yes,yes,Non-breeding ,Breeding,High,,,1,0,0,Grimmett et al. 1999; Grimmett et al. 2014,https://doi.org/10.15468/dl.wbvk8s
93,10,28,Passeriformes,Sylviidae,Sylvia althaea,Hume's Whitethroat,Asia,Himalayas,India,0,900,1500,3700,600,2800,1500,2800,no,yes,yes,Non-breeding ,Breeding,High,0-4503,3500-4803,1,1,0,Grimmett et al. 1999; GBIF,https://doi.org/10.15468/dl.ods8nd
94,10,17,Passeriformes,Muscicapidae,Tarsiger chrysaeus,Golden Bush-robin,Asia,Himalayas,India,1400,2000,3000,4600,1000,2600,1600,2600,no,yes,yes,Non-breeding ,Breeding,High,1400-2000,3000-4600,0,0,0,HBW; Grimmett et al. 1999,
95,10,17,Passeriformes,Muscicapidae,Tarsiger cyanurus,Orange-flanked Bush-robin,Asia,Himalayas,India,150,3000,2700,4400,-300,1400,2550,2550,no,yes,yes,Non-breeding ,Breeding,High,150-3000,2700-4400,0,0,0,Grimmett et al. 1999,
96,10,17,Passeriformes,Muscicapidae,Tarsiger hyperythrus,Rufous-breasted Bush Robin,Asia,Himalayas,India,150,3500,3400,3800,-100,300,3250,3250,no,yes,yes,Non-breeding ,Breeding,High,150-3500,3400-3800,0,0,0,Grimmett et al. 1999,
97,10,17,Passeriformes,Muscicapidae,Tarsiger rufilatus,Himalayan Bush-robin,Asia,Himalayas,India,1500,2100,3000,4400,900,2300,1500,2300,no,yes,yes,Non-breeding ,Breeding,High,1500-2100,3000-4400,1,0,0,Barve et al. 2016; HBW,
98,10,25,Passeriformes,Cettiidae,Tesia castaneocoronata,Chestnut-headed Tesia,Asia,Himalayas,Nepal,800,1830,2135,4000,305,2170,1335,2170,no,yes,yes,Non-breeding ,Breeding,High,250-1830,2135-4000,0,0,0,Grimmett et al. 1999,
99,10,18,Passeriformes,Tichodromidae,Tichodroma muraria,Wallcreeper,Asia,Himalayas,nepalensis (Pakistan),1200,2400,3600,4600,1200,2200,2400,2400,no,yes,yes,Non-breeding ,Breeding,High,1200-2400,2600-4600,1,0,0,Grimmett et al. 1999,
102,6,7,Charadriiformes,Scolopacidae,Tringa totanus,Common Redshank,Asia,Himalayas,,0,1280,3300,5000,2020,3720,3300,3720,yes,yes,no,Non-breeding ,Breeding,High,0-915,3300-5000,1,0,0,Grimmett et al. 1999,https://doi.org/10.15468/dl.xpd3zr
103,10,16,Passeriformes,Turdidae,Zoothera dauma,Scaly Thrush,Asia,Himalayas,India,5,1800,2100,3600,300,1800,2095,2095,no,yes,yes,Non-breeding ,Breeding,High,5-1800,2100-3600,1,0,0,Grimmett at al. 1999; GBIF,https://doi.org/10.15468/dl.xq74gr
104,10,16,Passeriformes,Turdidae,Zoothera dauma,Scaly Thrush,Asia,Himalayas,Nepal,275,1500,2320,3300,820,1800,2045,2045,no,yes,yes,Non-breeding ,Breeding,High,275-1500,2320-3300,1,0,0,Grimmett at al. 1999,
105,10,16,Passeriformes,Turdidae,Zoothera mollissima,Plain-backed Thrush,Asia,Himalayas,India,600,3600,2700,4300,-900,700,2100,2100,no,yes,yes,Non-breeding ,Breeding,High,600-3600,2700-4300,0,0,0,Grimmett at al. 1999,
